1password 8.10.78-43
libayatana-appindicator-glib-debug 2.0.0-1
libayatana-indicator 0.9.4-1
libb2 0.98.1-3
libblockdev 3.3.0-1
libblockdev-crypto 3.3.0-1
libblockdev-fs 3.3.0-1
libblockdev-loop 3.3.0-1
libblockdev-mdraid 3.3.0-1
libblockdev-nvme 3.3.0-1
libblockdev-part 3.3.0-1
libblockdev-swap 3.3.0-1
libbluray 1.3.4-3
libbpf 1.5.0-1
libbytesize 2.11-1
libcap 2.76-1
libcap-ng 0.8.5-3
libcdio 2.2.0-1
libcdio-paranoia 10.2+2.0.2-1
libcloudproviders 0.3.6-1
libcolord 1.4.7-2
libcups 2:2.4.12-2
libdaemon 0.14-6
libdatrie 0.2.13-4
libdbusmenu-glib 16.04.0.r498-2
libdbusmenu-gtk3 16.04.0.r498-2
libde265 1.0.16-1
libdecor 0.2.3-1
libdisplay-info 0.2.0-2
libdrm 2.4.124-1
libebur128 1.2.6-2
libedit 20250104_3.1-1
libei 1.4.0-1
libelf 0.193-2
libepoxy 1.5.10-3
libevdev 1.13.4-1
libevent 2.1.12-4
libexif 0.6.25-1
libfdk-aac 2.0.3-1
libffi 3.4.8-1
libfontenc 1.1.8-1
libfreeaptx 0.2.2-1
libgcrypt 1.11.1-1
libgirepository 1.84.0-1
libglvnd 1.7.0-1
libgoa 3.54.3-1
libgpg-error 1.55-1
libgphoto2 2.5.31-4
libgudev 238-3
libheif 1.19.8-1
libice 1.1.2-1
libidn2 2.3.7-1
libinih 58-1
libinput 1.28.1-1
libisl 0.27-1
libjpeg-turbo 3.1.0-1
libksba 1.6.7-2
liblc3 1.1.3-1
libldac 2.0.2.3-2
libldap 2.6.10-1
libliftoff 0.5.0-1
libmalcontent 0.13.0-1
libmm-glib 1.24.0-1
libmnl 1.0.5-2
libmpc 1.3.1-2
libmtp 1.1.22-1
libmysofa 1.3.3-1
libndp 1.9-1
libnetfilter_conntrack 1.0.9-2
libnewt 0.52.25-1
libnfnetlink 1.0.2-2
libnfs 6.0.2-3
libnftnl 1.2.9-1
libnghttp2 1.65.0-1
libnghttp3 1.10.1-1
libnl 3.11.0-1
libnm 1.52.0-1
libnotify 0.8.6-1
libnsl 2.0.1-1
libnvme 1.13-1
libogg 1.3.5-2
libp11-kit 0.25.5-1
libpcap 1.10.5-2
libpciaccess 0.18.1-2
libpgm 5.3.128-3
libpipewire 1:1.4.4-1
libpng 1.6.48-1
libproxy 0.5.9-1
libpsl 0.21.5-2
libpulse 17.0+r43+g3e2bb8a1e-1
librsvg 2:2.60.0-2
libsasl 2.1.28-5
libseccomp 2.5.6-1
libsecret 0.21.7-1
libsigc++ 2.12.1-1
libslirp 4.9.1-1
libsm 1.2.6-1
libsndfile 1.2.2-3
libsodium 1.0.20-1
libsoup3 3.6.5-1
libssh2 1.11.1-1
libstemmer 3.0.1-1
libsysprof-capture 48.0-5
libtasn1 4.20.0-1
libteam 1.32-2
libthai 0.1.29-3
libtiff 4.7.0-1
libtirpc 1.3.6-2
libtool 2.5.4+r23+g5b582aed-1
libunistring 1.3-1
libunwind 1.8.1-3
liburing 2.9-1
libusb 1.0.28-1
libva 2.22.0-1
libva-utils 2.22.0-1
libverto 0.3.2-5
libvorbis 1.3.7-4
libwacom 2.15.0-2
libwebp 1.5.0-1
libwireplumber 0.5.10-1
libx11 1.8.12-1
libxau 1.0.12-1
libxcb 1.17.0-1
libxcomposite 0.4.6-2
libxcrypt 4.4.38-1
libxcursor 1.2.3-1
libxcvt 0.1.3-1
libxdamage 1.1.6-2
libxdmcp 1.1.5-1
libxext 1.3.6-1
libxfixes 6.0.1-2
libxfont2 2.0.7-1
libxft 2.3.9-1
libxi 1.8.2-1
libxinerama 1.1.5-2
libxkbcommon 1.10.0-1
libxkbcommon-x11 1.10.0-1
libxkbfile 1.1.3-1
libxml2 2.14.3-1
libxmlb 0.3.22-1
libxmu 1.2.1-1
libxpm 3.5.17-2
libxrandr 1.5.4-1
libxrender 0.9.12-1
libxshmfence 1.3.3-1
libxt 1.3.1-1
libxtst 1.2.5-1
libxv 1.0.13-1
libxxf86vm 1.1.6-1
libyaml 0.2.5-3
libyuv r2426+464c51a03-1
licenses 20240728-1
lilv 0.24.26-1
linux 6.14.9.arch1-1
linux-api-headers 6.14-1
linux-firmware 20250508.788aadc8-2
linux-firmware-whence 20250508.788aadc8-2
linux-headers 6.14.9.arch1-1
llvm-libs 19.1.7-2
lmdb 0.9.33-1
lm_sensors 1:3.6.2-1
lsof 4.99.4-1
lua 5.4.7-1
lv2 1.18.10-1
lz4 1:1.10.0-2
lzo 2.10-5
m4 1.4.20-1
make 4.4.1-2
mate-polkit 1.28.1-2
md4c 0.5.2-1
mdadm 4.4-1
mesa 1:25.1.1-2
mkinitcpio 39.2-3
mkinitcpio-busybox 1.36.1-1
mobile-broadband-provider-info 20240407-1
mpdecimal 4.0.1-1
mpfr 4.2.2-1
mpg123 1.32.10-1
mtdev 1.1.7-1
ncurses 6.5-4
nettle 3.10.1-1
networkmanager 1.52.0-1
nfsidmap 2.8.3-2
nfs-utils 2.8.3-2
npth 1.8-1
nspr 4.36-1
nss 3.112-1
openssh 10.0p1-3
openssl 3.5.0-1
opus 1.5.2-1
orc 0.4.41-1
ostree 2025.2-2
p11-kit 0.25.5-1
pacman 7.0.0.r6.gc685ae6-2
pacman-mirrorlist 20250522-1
pahole 1:1.30-1
pam 1.7.0-2
pambase 20230918-2
pango 1:1.56.3-1
pangomm 2.46.4-1
parted 3.6-2
patch 2.8-1
pciutils 3.13.0-2
pcre2 10.45-1
pcre 8.45-4
pcsclite 2.3.3-1
perl 5.40.2-1
perl-error 0.17030-1
perl-mailtools 2.22-1
perl-timedate 2.33-7
pinentry 1.3.1-5
pipewire 1:1.4.4-1
pipewire-alsa 1:1.4.4-1
pipewire-audio 1:1.4.4-1
pipewire-pulse 1:1.4.4-1
pipewire-session-manager 1:1.4.4-1
pixman 0.46.0-1
pkgconf 2.4.3-1
pkgfile 24-1
polkit 126-2
popt 1.19-2
procps-ng 4.0.5-3
psmisc 23.7-1
python 3.13.3-1
python-cairo 1.28.0-1
python-dbus 1.4.0-1
python-evdev 1.9.0-1
python-gobject 3.52.3-3
python-psutil 7.0.0-1
python-pyudev 0.24.3-2
python-six 1.17.0-1
python-typing_extensions 4.13.2-1
python-xlib 0.33-4
python-yaml 6.0.2-2
qt5-base 5.15.17+kde+r122-1
qt5-svg 5.15.17+kde+r5-1
qt5-translations 5.15.17-1
qt5-x11extras 5.15.17-1
qt6-base 6.9.0-2
qt6-declarative 6.9.0-2
qt6-svg 6.9.0-1
qt6-translations 6.9.0-1
qt6-wayland 6.9.0-2
rav1e 0.7.1-1
readline 8.2.013-1
rootlesskit 2.2.0-1
rpcbind 1.2.7-2
rtkit 0.13-3
runc 1.3.0-1
sbc 2.0-2
seatd 0.9.1-1
sed 4.9-3
serd 0.32.4-1
shadow 4.17.4-1
shared-mime-info 2.4-2
slang 2.3.3-3
slirp4netns 1.3.2-1
solaar 1.1.14-2
sord 0.16.18-1
spirv-tools 1:1.4.313.0-1
sqlite 3.50.0-1
sratom 0.6.18-1
sudo 1.9.16.p2-2
svt-av1 3.0.2-1
sway 1:1.10.1-3
swaylock 1.8.2-1
systemd 257.6-1
systemd-libs 257.6-1
systemd-sysvcompat 257.6-1
tailscale 1.84.0-1
tar 1.35-2
texinfo 7.2-1
tinysparql 3.9.2-2
tpm2-tss 4.1.3-1
tslib 1.23-1
tzdata 2025b-1
udisks2 2.10.1-5
util-linux 2.41-4
util-linux-libs 2.41-4
v4l2loopback-dkms 0.14.0-1
vim 9.1.1376-1
vim-runtime 9.1.1376-1
volume_key 0.3.12-10
vulkan-icd-loader 1.4.313.0-1
wayland 1.23.1-2
webrtc-audio-processing-1 1.3-5
wget 1.25.0-2
which 2.23-1
wireplumber 0.5.10-1
wlroots0.18 0.18.2-1
wpa_supplicant 2:2.11-3
x265 4.0-1
xcb-proto 1.17.0-3
xcb-util 0.4.1-2
xcb-util-cursor 0.1.5-1
xcb-util-errors 1.0.1-2
xcb-util-image 0.4.1-3
xcb-util-keysyms 0.4.1-5
xcb-util-renderutil 0.3.10-2
xcb-util-wm 0.4.2-2
xdg-dbus-proxy 0.1.6-1
xdg-desktop-portal 1.20.3-1
xdg-desktop-portal-gtk 1.15.3-1
xdg-desktop-portal-wlr 0.7.1-1
xdg-user-dirs 0.18-2
xdg-user-dirs-gtk 0.14-1
xdg-utils 1.2.1-1
xkeyboard-config 2.44-1
xorg-fonts-encodings 1.1.0-1
xorgproto 2024.1-2
xorg-server-common 21.1.16-1
xorg-setxkbmap 1.3.4-2
xorg-xkbcomp 1.4.7-1
xorg-xprop 1.2.8-1
xorg-xset 1.2.5-2
xorg-xwayland 24.1.6-1
xxhash 0.8.3-1
xz 5.8.1-1
yay 12.5.0-1
yay-debug 12.5.0-1
zeromq 4.3.5-2
zix 0.6.2-1
zlib 1:1.3.1-2
zlib-ng 2.2.4-1
zstd 1.5.7-2
